"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2023","328.90","329.01","330.05","328.20","98.84M","0.84%"
"05/04/2023","326.17","325.75","326.33","324.26","98.92M","-0.11%"
"05/03/2023","326.52","326.99","327.93","325.83","103.77M","-0.78%"
"05/02/2023","329.09","326.99","329.49","326.74","113.91M","0.81%"
"04/28/2023","326.46","327.35","328.56","324.77","156.84M","0.42%"
"04/27/2023","325.09","323.78","325.74","321.18","147.06M","0.35%"
"04/26/2023","323.97","324.57","325.61","323.30","142.15M","-0.16%"
"04/25/2023","324.48","329.70","329.88","322.47","163.60M","-1.28%"
"04/24/2023","328.70","329.99","330.35","328.06","133.29M","-0.68%"
"04/21/2023","330.94","332.08","332.49","329.56","146.58M","-0.52%"
"04/20/2023","332.66","332.42","333.65","331.18","176.36M","-0.33%"
"04/19/2023","333.77","333.34","334.96","332.96","167.72M","0.08%"
"04/18/2023","333.50","334.93","334.97","331.35","238.29M","-0.13%"
"04/17/2023","333.92","333.62","334.30","332.18","244.97M","0.07%"
"04/14/2023","333.68","335.42","335.77","332.49","298.77M","0.18%"
"04/13/2023","333.09","330.06","333.09","329.63","172.64M","0.30%"
"04/12/2023","332.09","330.88","332.80","329.77","252.06M","0.37%"
"04/11/2023","330.87","328.00","331.58","326.87","148.44M","1.38%"
"04/10/2023","326.38","323.27","327.89","323.07","144.41M","0.93%"
"04/07/2023","323.36","321.29","323.89","320.53","137.01M","1.74%"
"04/06/2023","317.82","322.37","322.40","317.78","145.37M","-1.77%"
"04/05/2023","323.56","322.04","323.96","321.35","121.20M","0.56%"
"04/04/2023","321.75","320.97","322.85","320.24","155.30M","0.43%"
"04/03/2023","320.38","323.18","323.21","319.73","137.96M","-0.51%"
"03/31/2023","322.03","319.60","322.54","319.17","194.24M","1.25%"
"03/30/2023","318.05","318.51","319.48","316.78","187.35M","0.33%"
"03/29/2023","317.01","315.68","317.03","314.94","152.85M","0.21%"
"03/28/2023","316.36","314.15","316.36","313.49","120.38M","1.12%"
"03/27/2023","312.85","314.83","314.84","311.24","100.99M","-0.46%"
"03/24/2023","314.30","315.17","315.86","312.49","110.75M","-0.46%"
"03/23/2023","315.75","311.51","315.75","311.41","111.56M","0.52%"
"03/22/2023","314.11","313.33","314.26","311.94","93.69M","1.21%"
"03/21/2023","310.36","311.86","312.05","309.64","84.17M","0.28%"
"03/20/2023","309.49","311.59","313.44","309.39","89.48M","-0.83%"
"03/17/2023","312.07","312.20","312.68","309.80","126.08M","1.19%"
"03/16/2023","308.39","305.87","309.27","304.63","111.88M","-0.23%"
"03/15/2023","309.10","309.75","311.42","307.81","112.06M","1.15%"
"03/14/2023","305.58","310.18","310.35","305.45","129.87M","-2.44%"
"03/13/2023","313.21","311.77","313.69","308.03","125.38M","0.82%"
"03/10/2023","310.65","310.15","311.55","309.12","121.79M","-1.08%"
"03/09/2023","314.04","316.57","317.19","313.59","166.46M","-0.42%"
"03/08/2023","315.38","316.14","316.88","314.77","143.26M","-1.38%"
"03/07/2023","319.80","320.04","321.92","319.64","132.31M","-0.36%"
"03/06/2023","320.94","319.22","321.29","317.87","126.07M","1.45%"
"03/03/2023","316.36","317.69","318.30","315.30","113.90M","0.03%"
"03/02/2023","316.26","315.30","318.88","314.40","134.69M","0.46%"
"02/28/2023","314.80","315.75","317.69","314.13","131.22M","0.27%"
"02/27/2023","313.94","314.29","314.43","311.63","109.33M","-0.95%"
