날짜,monthth,종가
1987-06-09,17,19.82
1987-06-10,17,19.82
1987-06-11,17,19.85
1987-06-12,17,19.91
1987-06-15,17,20.06
1987-06-16,17,20.27
1987-06-17,17,20.39
1987-06-18,17,20.52
1987-06-19,17,20.66
1987-06-22,17,20.48
1987-06-23,17,19.57
1987-06-24,17,19.4
1987-06-25,17,19.64
1987-06-26,17,20.24
1987-06-29,17,20.35
1987-06-30,17,20.29
1987-07-01,18,20.48
1987-07-02,18,20.61
1987-07-06,18,20.93
1987-07-07,18,20.74
1987-07-08,18,20.88
1987-07-09,18,21.23
1987-07-10,18,21.33
1987-07-13,18,21.4
1987-07-14,18,21.58
1987-07-15,18,22.15
1987-07-16,18,22.34
1987-07-17,18,22.39
1987-07-20,18,22.2
1987-07-21,18,21.7
1987-07-22,18,21.55
1987-07-23,18,21.23
1987-07-24,18,20.57
1987-07-27,18,20.49
1987-07-28,18,21.32
1987-07-29,18,21.44
1987-07-30,18,21.36
1987-07-31,18,21.37
1987-08-03,19,22.16
1987-08-04,19,21.97
1987-08-05,19,21.29
1987-08-06,19,21.14
1987-08-07,19,20.99
1987-08-10,19,20.73
1987-08-11,19,20.99
1987-08-12,19,20.99
1987-08-13,19,20.77
1987-08-14,19,20.57
1987-08-17,19,19.83
1987-08-18,19,19.9
1987-08-19,19,19.63
1987-08-20,19,19.42
1987-08-21,19,18.9
1987-08-24,19,18.6
1987-08-25,19,18.64
1987-08-26,19,19.46
1987-08-27,19,19.64
1987-08-28,19,19.39
1987-08-31,19,19.73
1987-09-01,20,19.63
1987-09-02,20,19.64
1987-09-03,20,19.5
1987-09-04,20,19.32
1987-09-08,20,18.94
1987-09-09,20,19.38
1987-09-10,20,19.67
1987-09-11,20,19.4
1987-09-14,20,19.61
1987-09-15,20,19.7
1987-09-16,20,19.73
1987-09-17,20,19.56
1987-09-18,20,19.55
1987-09-21,20,19.73
1987-09-22,20,19.25
1987-09-23,20,19.68
1987-09-24,20,19.65
1987-09-25,20,19.46
1987-09-28,20,19.45
1987-09-29,20,19.54
1987-09-30,20,19.59
1987-10-01,21,19.62
1987-10-02,21,19.86
1987-10-05,21,19.82
1987-10-06,21,19.44
1987-10-07,21,19.66
1987-10-08,21,19.59
1987-10-09,21,19.7
1987-10-12,21,19.65
1987-10-13,21,19.7
1987-10-14,21,19.77
1987-10-15,21,19.75
1987-10-16,21,20.22
1987-10-19,21,19.8
1987-10-20,21,19.87
1987-10-21,21,20.05
1987-10-22,21,20.2
1987-10-23,21,20.16
1987-10-26,21,19.99
1987-10-27,21,20.12
1987-10-28,21,20.08
1987-10-29,21,19.97
